Unnamed: 0,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,goal_difference,season_start_year,year,total_goals,home_recent_goals_scored_n3,home_recent_goals_conceded_n3,away_recent_goals_scored_n3,away_recent_goals_conceded_n3,home_recent_goals_scored_n5,home_recent_goals_conceded_n5,away_recent_goals_scored_n5,away_recent_goals_conceded_n5,home_recent_goals_scored_n10,home_recent_goals_conceded_n10,away_recent_goals_scored_n10,away_recent_goals_conceded_n10,previous_win,home_team_position,away_team_position,strength_difference,month
0,1,1963-08-24,Werder Bremen,3-2,Borussia Dortmund,3,2,0,1,1963,1963,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,12.0,-11.0,8
1,1,1963-08-24,1. FC Saarbrücken,0-2,1. FC Köln,0,2,2,2,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,1.0,8
2,1,1963-08-24,TSV 1860 München,1-1,Eintracht Braunschweig,1,1,1,0,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,4.0,-1.0,8
3,1,1963-08-24,Eintracht Frankfurt,1-1,1. FC Kaiserslautern,1,1,1,0,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,6.0,-2.0,8
4,1,1963-08-24,FC Schalke 04,2-0,VfB Stuttgart,2,0,0,2,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,16.0,-14.0,8
5,1,1963-08-24,Preussen Münster,1-1,Hamburger SV,1,1,1,0,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,7.0,-1.0,8
6,1,1963-08-24,Karlsruher SC,1-4,MSV Duisburg,1,4,2,3,1963,1963,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,4.0,8.0,8
7,1,1963-08-24,Hertha BSC,1-1,1. FC Nürnberg,1,1,1,0,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,10.0,-2.0,8
15,2,1963-08-31,1. FC Köln,4-0,Karlsruher SC,4,0,0,4,1963,1963,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,14.0,-13.0,8
14,2,1963-08-31,Hamburger SV,4-2,1. FC Saarbrücken,4,2,0,2,1963,1963,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,13.0,-11.0,8
13,2,1963-08-31,1. FC Nürnberg,3-0,Werder Bremen,3,0,0,3,1963,1963,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,4.0,-1.0,8
12,2,1963-08-31,Borussia Dortmund,3-3,TSV 1860 München,3,3,1,0,1963,1963,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0,7.0,4.0,8
9,2,1963-08-31,MSV Duisburg,3-1,Eintracht Frankfurt,3,1,0,2,1963,1963,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,8.0,-6.0,8
10,2,1963-08-31,VfB Stuttgart,2-0,Hertha BSC,2,0,0,2,1963,1963,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,11.0,-4.0,8
8,2,1963-08-31,Eintracht Braunschweig,1-0,Preussen Münster,1,0,0,1,1963,1963,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,11.0,-6.0,8
