home_team,away_team,season_start_year,month,predicted_winner,home_win_prob,draw_prob,away_win_prob
Bor. Mönchengladbach,Bayer 04 Leverkusen,2024,8,2,0.05345704,0.08566354,0.8608794
RB Leipzig,VfL Bochum,2024,8,0,0.64370954,0.29803136,0.058259085
SC Freiburg,VfB Stuttgart,2024,8,1,0.31775612,0.43090108,0.25134286
FC Augsburg,Werder Bremen,2024,8,1,0.32896414,0.34892502,0.3221108
1. FSV Mainz 05,1. FC Union Berlin,2024,8,2,0.08757616,0.4456368,0.466787
Borussia Dortmund,Eintracht Frankfurt,2024,8,0,0.6061165,0.22958472,0.16429885
VfL Wolfsburg,Bayern München,2024,8,1,0.22378312,0.51936346,0.25685343
VfB Stuttgart,1. FSV Mainz 05,2024,8,0,0.53705317,0.29666302,0.16628382
Werder Bremen,Borussia Dortmund,2024,8,0,0.44156057,0.2980303,0.26040918
VfL Bochum,Bor. Mönchengladbach,2024,8,1,0.18544859,0.4418587,0.3726927
Bayer 04 Leverkusen,RB Leipzig,2024,8,0,0.7601523,0.15833972,0.081507996
1. FC Heidenheim,FC Augsburg,2024,9,0,0.8459557,0.11581,0.038234256
Bayern München,SC Freiburg,2024,9,0,0.6703426,0.25399762,0.07565975
Borussia Dortmund,1. FC Heidenheim,2024,9,0,0.63976574,0.2622446,0.097989686
RB Leipzig,1. FC Union Berlin,2024,9,0,0.45700598,0.372347,0.17064698
SC Freiburg,VfL Bochum,2024,9,0,0.5501378,0.3913037,0.058558542
VfL Wolfsburg,Eintracht Frankfurt,2024,9,1,0.23347978,0.46418786,0.30233243
Bor. Mönchengladbach,VfB Stuttgart,2024,9,2,0.12634541,0.29779816,0.5758564
1. FSV Mainz 05,Werder Bremen,2024,9,2,0.1757043,0.3297333,0.4945624
FC Augsburg,1. FSV Mainz 05,2024,9,2,0.16010326,0.3642553,0.47564143
1. FC Heidenheim,SC Freiburg,2024,9,0,0.64231235,0.2893499,0.06833775
Werder Bremen,Bayern München,2024,9,0,0.45546058,0.32221016,0.22232923
Eintracht Frankfurt,Bor. Mönchengladbach,2024,9,0,0.6279549,0.31719905,0.054846097
Bayer 04 Leverkusen,VfL Wolfsburg,2024,9,0,0.8641336,0.10840837,0.027458023
VfB Stuttgart,Borussia Dortmund,2024,9,0,0.49254808,0.28111398,0.22633788
Borussia Dortmund,VfL Bochum,2024,9,0,0.7371127,0.16818717,0.09470009
